sku,name,description,price
SKU00098,"Product 98","Description for product 98",55.9
SKU00099,"Product 99","Description for product 99",81.19
SKU00100,"Product 100","Description for product 100",93.32
SKU00101,"Product 101","Description for product 101",63.8
SKU00102,"Product 102","Description for product 102",71.22
SKU00103,"Product 103","Description for product 103",48.18
SKU00104,"Product 104","Description for product 104",12.15
SKU00105,"Product 105","Description for product 105",54.52
SKU00106,"Product 106","Description for product 106",54.67
SKU00107,"Product 107","Description for product 107",81.31
SKU00108,"Product 108","Description for product 108",83.1
SKU00109,"Product 109","Description for product 109",78.46
SKU00110,"Product 110","Description for product 110",37.51
SKU00111,"Product 111","Description for product 111",22.5
SKU00112,"Product 112","Description for product 112",7.13
SKU00113,"Product 113","Description for product 113",48.85
SKU00114,"Product 114","Description for product 114",95.57
SKU00115,"Product 115","Description for product 115",43.79
SKU00116,"Product 116","Description for product 116",16.41
SKU00117,"Product 117","Description for product 117",92.58
SKU00118,"Product 118","Description for product 118",41.83
SKU00119,"Product 119","Description for product 119",91.49
SKU00120,"Product 120","Description for product 120",40.49
SKU00121,"Product 121","Description for product 121",71.79
SKU00122,"Product 122","Description for product 122",19.29
SKU00123,"Product 123","Description for product 123",3.78
SKU00124,"Product 124","Description for product 124",78.21
SKU00125,"Product 125","Description for product 125",15.81
SKU00126,"Product 126","Description for product 126",91.96
SKU00127,"Product 127","Description for product 127",76.53
SKU00128,"Product 128","Description for product 128",13.86
SKU00129,"Product 129","Description for product 129",97.47
SKU00130,"Product 130","Description for product 130",3.78
SKU00131,"Product 131","Description for product 131",95.18
SKU00132,"Product 132","Description for product 132",26.93
SKU00133,"Product 133","Description for product 133",87.52
SKU00134,"Product 134","Description for product 134",59.97
SKU00135,"Product 135","Description for product 135",27.79
SKU00136,"Product 136","Description for product 136",66.5
SKU00137,"Product 137","Description for product 137",10.61
SKU00138,"Product 138","Description for product 138",62.78
SKU00139,"Product 139","Description for product 139",16.09
SKU00140,"Product 140","Description for product 140",19.16
SKU00141,"Product 141","Description for product 141",63.13
SKU00142,"Product 142","Description for product 142",75.74
SKU00143,"Product 143","Description for product 143",33.44
SKU00144,"Product 144","Description for product 144",10.68
SKU00145,"Product 145","Description for product 145",72.68
SKU00146,"Product 146","Description for product 146",82.65
SKU00147,"Product 147","Description for product 147",38.74
SKU00148,"Product 148","Description for product 148",94.16
SKU00149,"Product 149","Description for product 149",70.9
SKU00150,"Product 150","Description for product 150",76.6
SKU00151,"Product 151","Description for product 151",76.73
SKU00152,"Product 152","Description for product 152",24.25
SKU00153,"Product 153","Description for product 153",93.62
SKU00154,"Product 154","Description for product 154",19.62
SKU00155,"Product 155","Description for product 155",14.29
SKU00156,"Product 156","Description for product 156",42.15
SKU00157,"Product 157","Description for product 157",59.22
SKU00158,"Product 158","Description for product 158",46.35
SKU00159,"Product 159","Description for product 159",61.39
SKU00160,"Product 160","Description for product 160",77.1
SKU00161,"Product 161","Description for product 161",63.96
SKU00162,"Product 162","Description for product 162",70.87
SKU00163,"Product 163","Description for product 163",5.92
SKU00164,"Product 164","Description for product 164",27.63
SKU00165,"Product 165","Description for product 165",70.42
SKU00166,"Product 166","Description for product 166",43.52
SKU00167,"Product 167","Description for product 167",97.86
SKU00168,"Product 168","Description for product 168",99.81
SKU00169,"Product 169","Description for product 169",85.16
SKU00170,"Product 170","Description for product 170",14.94
SKU00171,"Product 171","Description for product 171",61.55
SKU00172,"Product 172","Description for product 172",95.2
SKU00173,"Product 173","Description for product 173",63.93
SKU00174,"Product 174","Description for product 174",51.63
SKU00175,"Product 175","Description for product 175",70.13
SKU00176,"Product 176","Description for product 176",11.11
SKU00177,"Product 177","Description for product 177",35.69
SKU00178,"Product 178","Description for product 178",36.03
SKU00179,"Product 179","Description for product 179",36.21
SKU00180,"Product 180","Description for product 180",78.9
SKU00181,"Product 181","Description for product 181",36.06
SKU00182,"Product 182","Description for product 182",85.33
SKU00183,"Product 183","Description for product 183",88.51
SKU00184,"Product 184","Description for product 184",73.08
SKU00185,"Product 185","Description for product 185",43.84
SKU00186,"Product 186","Description for product 186",94.37
SKU00187,"Product 187","Description for product 187",91.06
SKU00188,"Product 188","Description for product 188",34.69
SKU00189,"Product 189","Description for product 189",14.5
SKU00190,"Product 190","Description for product 190",6.32
SKU00191,"Product 191","Description for product 191",88.47
SKU00192,"Product 192","Description for product 192",28.68
SKU00193,"Product 193","Description for product 193",76.3
SKU00194,"Product 194","Description for product 194",85.25
SKU00195,"Product 195","Description for product 195",58.16
SKU00196,"Product 196","Description for product 196",77.51
SKU00197,"Product 197","Description for product 197",91.26
SKU00198,"Product 198","Description for product 198",6.27
SKU00199,"Product 199","Description for product 199",20.64
SKU00200,"Product 200","Description for product 200",30.07
SKU00201,"Product 201","Description for product 201",13.36
SKU00202,"Product 202","Description for product 202",48.08
SKU00203,"Product 203","Description for product 203",85.95
SKU00204,"Product 204","Description for product 204",48.1
SKU00205,"Product 205","Description for product 205",38.58
SKU00206,"Product 206","Description for product 206",3.36
SKU00207,"Product 207","Description for product 207",64.24
SKU00208,"Product 208","Description for product 208",3.13
SKU00209,"Product 209","Description for product 209",86.58
SKU00210,"Product 210","Description for product 210",99.86
SKU00211,"Product 211","Description for product 211",9.46
SKU00212,"Product 212","Description for product 212",30.78
SKU00213,"Product 213","Description for product 213",91.53
SKU00214,"Product 214","Description for product 214",12.12
SKU00215,"Product 215","Description for product 215",27.1
SKU00216,"Product 216","Description for product 216",39.45
SKU00217,"Product 217","Description for product 217",95.11
SKU00218,"Product 218","Description for product 218",8.25
SKU00219,"Product 219","Description for product 219",12.83
SKU00220,"Product 220","Description for product 220",27.08
SKU00221,"Product 221","Description for product 221",76.25
SKU00222,"Product 222","Description for product 222",71.9
SKU00223,"Product 223","Description for product 223",28.49
SKU00224,"Product 224","Description for product 224",17.35
SKU00225,"Product 225","Description for product 225",86.37
SKU00226,"Product 226","Description for product 226",23.05
SKU00227,"Product 227","Description for product 227",69.36
SKU00228,"Product 228","Description for product 228",77.88
SKU00229,"Product 229","Description for product 229",71.29
SKU00230,"Product 230","Description for product 230",31.61
SKU00231,"Product 231","Description for product 231",89.98
SKU00232,"Product 232","Description for product 232",77.99
SKU00233,"Product 233","Description for product 233",49.23
SKU00234,"Product 234","Description for product 234",63.08
SKU00235,"Product 235","Description for product 235",55.47
SKU00236,"Product 236","Description for product 236",56.63
SKU00237,"Product 237","Description for product 237",56.11
SKU00238,"Product 238","Description for product 238",71.34
SKU00239,"Product 239","Description for product 239",80.32
SKU00240,"Product 240","Description for product 240",34.67
SKU00241,"Product 241","Description for product 241",66.11
SKU00242,"Product 242","Description for product 242",92.13
SKU00243,"Product 243","Description for product 243",68.22
SKU00244,"Product 244","Description for product 244",46.66
SKU00245,"Product 245","Description for product 245",63.77
SKU00246,"Product 246","Description for product 246",48.86
SKU00247,"Product 247","Description for product 247",68.86
SKU00248,"Product 248","Description for product 248",30.32
SKU00249,"Product 249","Description for product 249",52.21
SKU00250,"Product 250","Description for product 250",98.05
SKU00251,"Product 251","Description for product 251",67.91
SKU00252,"Product 252","Description for product 252",77.39
SKU00253,"Product 253","Description for product 253",47.21
SKU00254,"Product 254","Description for product 254",75.01
SKU00255,"Product 255","Description for product 255",42.42
SKU00256,"Product 256","Description for product 256",38.25
SKU00257,"Product 257","Description for product 257",77.89
SKU00258,"Product 258","Description for product 258",61.27
SKU00259,"Product 259","Description for product 259",57.7
SKU00260,"Product 260","Description for product 260",91.14
SKU00261,"Product 261","Description for product 261",64.98
SKU00262,"Product 262","Description for product 262",44.67
SKU00263,"Product 263","Description for product 263",37
SKU00264,"Product 264","Description for product 264",67.82
SKU00265,"Product 265","Description for product 265",27.36
SKU00266,"Product 266","Description for product 266",13.91
SKU00267,"Product 267","Description for product 267",79.06
SKU00268,"Product 268","Description for product 268",37
SKU00269,"Product 269","Description for product 269",61.55
SKU00270,"Product 270","Description for product 270",27.4
SKU00271,"Product 271","Description for product 271",92.73
SKU00272,"Product 272","Description for product 272",70.34
SKU00273,"Product 273","Description for product 273",62.19
SKU00274,"Product 274","Description for product 274",93.74
SKU00275,"Product 275","Description for product 275",52.95
SKU00276,"Product 276","Description for product 276",9.04
SKU00277,"Product 277","Description for product 277",75.79
SKU00278,"Product 278","Description for product 278",83.54
SKU00279,"Product 279","Description for product 279",36.11
SKU00280,"Product 280","Description for product 280",91.05
SKU00281,"Product 281","Description for product 281",21.27
SKU00282,"Product 282","Description for product 282",86.6
SKU00283,"Product 283","Description for product 283",39.28
SKU00284,"Product 284","Description for product 284",84.28
SKU00285,"Product 285","Description for product 285",61.43
SKU00286,"Product 286","Description for product 286",98.37
SKU00287,"Product 287","Description for product 287",98.42
SKU00288,"Product 288","Description for product 288",75.89
SKU00289,"Product 289","Description for product 289",64.08
SKU00290,"Product 290","Description for product 290",78.3
SKU00291,"Product 291","Description for product 291",13.51
SKU00292,"Product 292","Description for product 292",75.17
SKU00293,"Product 293","Description for product 293",93.33
SKU00294,"Product 294","Description for product 294",53.33
SKU00295,"Product 295","Description for product 295",56.62
SKU00296,"Product 296","Description for product 296",50.03
SKU00297,"Product 297","Description for product 297",95.5
SKU00298,"Product 298","Description for product 298",53.16
SKU00299,"Product 299","Description for product 299",82.85
SKU00300,"Product 300","Description for product 300",77.14
SKU00301,"Product 301","Description for product 301",39.81
SKU00302,"Product 302","Description for product 302",85.84
SKU00303,"Product 303","Description for product 303",48.32
SKU00304,"Product 304","Description for product 304",61.23
SKU00305,"Product 305","Description for product 305",93.91
SKU00306,"Product 306","Description for product 306",25.59
SKU00307,"Product 307","Description for product 307",4.36
SKU00308,"Product 308","Description for product 308",35.44
SKU00309,"Product 309","Description for product 309",49.16
SKU00310,"Product 310","Description for product 310",12.43
SKU00311,"Product 311","Description for product 311",84.67
SKU00312,"Product 312","Description for product 312",23.54
SKU00313,"Product 313","Description for product 313",83
SKU00314,"Product 314","Description for product 314",53.62
SKU00315,"Product 315","Description for product 315",1.94
SKU00316,"Product 316","Description for product 316",53.75
SKU00317,"Product 317","Description for product 317",27.58
SKU00318,"Product 318","Description for product 318",71.31
SKU00319,"Product 319","Description for product 319",65.63
SKU00320,"Product 320","Description for product 320",81.73
SKU00321,"Product 321","Description for product 321",20.76
SKU00322,"Product 322","Description for product 322",86.27
SKU00323,"Product 323","Description for product 323",69.56
SKU00324,"Product 324","Description for product 324",36.36
SKU00325,"Product 325","Description for product 325",78.55
SKU00326,"Product 326","Description for product 326",80.6
SKU00327,"Product 327","Description for product 327",73.3
SKU00328,"Product 328","Description for product 328",59.77
SKU00329,"Product 329","Description for product 329",81.67
SKU00330,"Product 330","Description for product 330",5.15
SKU00331,"Product 331","Description for product 331",84.02
SKU00332,"Product 332","Description for product 332",36.15
SKU00333,"Product 333","Description for product 333",62
SKU00334,"Product 334","Description for product 334",13.94
SKU00335,"Product 335","Description for product 335",11.72
SKU00336,"Product 336","Description for product 336",41.24
SKU00337,"Product 337","Description for product 337",74.26
SKU00338,"Product 338","Description for product 338",65.22
SKU00339,"Product 339","Description for product 339",76.12
SKU00340,"Product 340","Description for product 340",61.64
SKU00341,"Product 341","Description for product 341",47.2
SKU00342,"Product 342","Description for product 342",86.12
SKU00343,"Product 343","Description for product 343",13.89
SKU00344,"Product 344","Description for product 344",57.39
SKU00345,"Product 345","Description for product 345",40.63
SKU00346,"Product 346","Description for product 346",77.48
SKU00347,"Product 347","Description for product 347",81.68
SKU00348,"Product 348","Description for product 348",32.5
SKU00349,"Product 349","Description for product 349",82.82
SKU00350,"Product 350","Description for product 350",3.92
SKU00351,"Product 351","Description for product 351",80.75
SKU00352,"Product 352","Description for product 352",68.62
SKU00353,"Product 353","Description for product 353",52.66
SKU00354,"Product 354","Description for product 354",9.27
SKU00355,"Product 355","Description for product 355",58.31
SKU00356,"Product 356","Description for product 356",24.45
SKU00357,"Product 357","Description for product 357",52.33
SKU00358,"Product 358","Description for product 358",66.13
SKU00359,"Product 359","Description for product 359",56.42
SKU00360,"Product 360","Description for product 360",44.17
SKU00361,"Product 361","Description for product 361",91.25
SKU00362,"Product 362","Description for product 362",11.2
SKU00363,"Product 363","Description for product 363",25.85
SKU00364,"Product 364","Description for product 364",23.68
SKU00365,"Product 365","Description for product 365",88.25
SKU00366,"Product 366","Description for product 366",78.29
SKU00367,"Product 367","Description for product 367",97.86
SKU00368,"Product 368","Description for product 368",33.18
SKU00369,"Product 369","Description for product 369",98.13
SKU00370,"Product 370","Description for product 370",40.9
SKU00371,"Product 371","Description for product 371",18.11
SKU00372,"Product 372","Description for product 372",49.72
SKU00373,"Product 373","Description for product 373",29.5
SKU00374,"Product 374","Description for product 374",75.1
SKU00375,"Product 375","Description for product 375",79.99
SKU00376,"Product 376","Description for product 376",35.81
SKU00377,"Product 377","Description for product 377",6.1
SKU00378,"Product 378","Description for product 378",83.72
SKU00379,"Product 379","Description for product 379",13.16
SKU00380,"Product 380","Description for product 380",12.54
SKU00381,"Product 381","Description for product 381",10.84
SKU00382,"Product 382","Description for product 382",78.97
SKU00383,"Product 383","Description for product 383",13.66
SKU00384,"Product 384","Description for product 384",76.23
SKU00385,"Product 385","Description for product 385",93.56
SKU00386,"Product 386","Description for product 386",84.73
SKU00387,"Product 387","Description for product 387",23.36
SKU00388,"Product 388","Description for product 388",79.94
SKU00389,"Product 389","Description for product 389",39.34
SKU00390,"Product 390","Description for product 390",77.36
SKU00391,"Product 391","Description for product 391",95.64
SKU00392,"Product 392","Description for product 392",29.62
SKU00393,"Product 393","Description for product 393",9.02
SKU00394,"Product 394","Description for product 394",63.24
SKU00395,"Product 395","Description for product 395",25.38
SKU00396,"Product 396","Description for product 396",30.95
SKU00397,"Product 397","Description for product 397",57.99
SKU00398,"Product 398","Description for product 398",93.29
SKU00399,"Product 399","Description for product 399",90.16
SKU00400,"Product 400","Description for product 400",9.47
SKU00401,"Product 401","Description for product 401",98.28
SKU00402,"Product 402","Description for product 402",45.36
SKU00403,"Product 403","Description for product 403",51.5
SKU00404,"Product 404","Description for product 404",45.49
SKU00405,"Product 405","Description for product 405",79.01
SKU00406,"Product 406","Description for product 406",31.99
SKU00407,"Product 407","Description for product 407",93.58
SKU00408,"Product 408","Description for product 408",59.83
SKU00409,"Product 409","Description for product 409",45.18
SKU00410,"Product 410","Description for product 410",16.38
SKU00411,"Product 411","Description for product 411",46.37
SKU00412,"Product 412","Description for product 412",3.98
SKU00413,"Product 413","Description for product 413",39.47
SKU00414,"Product 414","Description for product 414",19.76
SKU00415,"Product 415","Description for product 415",27.11
SKU00416,"Product 416","Description for product 416",62.61
SKU00417,"Product 417","Description for product 417",90.71
SKU00418,"Product 418","Description for product 418",69.63
SKU00419,"Product 419","Description for product 419",83.01
SKU00420,"Product 420","Description for product 420",96.92
SKU00421,"Product 421","Description for product 421",4.7
SKU00422,"Product 422","Description for product 422",85.52
SKU00423,"Product 423","Description for product 423",70.04
SKU00424,"Product 424","Description for product 424",59.99
SKU00425,"Product 425","Description for product 425",8.86
SKU00426,"Product 426","Description for product 426",74.12
SKU00427,"Product 427","Description for product 427",45.34
SKU00428,"Product 428","Description for product 428",1.15
SKU00429,"Product 429","Description for product 429",32.03
SKU00430,"Product 430","Description for product 430",87.71
SKU00431,"Product 431","Description for product 431",55.52
SKU00432,"Product 432","Description for product 432",23.63
SKU00433,"Product 433","Description for product 433",26.51
SKU00434,"Product 434","Description for product 434",49.1
SKU00435,"Product 435","Description for product 435",81.58
SKU00436,"Product 436","Description for product 436",22.96
SKU00437,"Product 437","Description for product 437",60.65
SKU00438,"Product 438","Description for product 438",28.31
SKU00439,"Product 439","Description for product 439",55.12
SKU00440,"Product 440","Description for product 440",86.87
SKU00441,"Product 441","Description for product 441",1.74
SKU00442,"Product 442","Description for product 442",91.72
SKU00443,"Product 443","Description for product 443",76.27
SKU00444,"Product 444","Description for product 444",99.5
SKU00445,"Product 445","Description for product 445",6.25
SKU00446,"Product 446","Description for product 446",66.54
SKU00447,"Product 447","Description for product 447",98.73
SKU00448,"Product 448","Description for product 448",71.52
SKU00449,"Product 449","Description for product 449",15.13
SKU00450,"Product 450","Description for product 450",13.09
SKU00451,"Product 451","Description for product 451",67.64
SKU00452,"Product 452","Description for product 452",91.2
SKU00453,"Product 453","Description for product 453",87.22
SKU00454,"Product 454","Description for product 454",52.77
SKU00455,"Product 455","Description for product 455",10.28
SKU00456,"Product 456","Description for product 456",43.03
SKU00457,"Product 457","Description for product 457",8.91
SKU00458,"Product 458","Description for product 458",27.12
SKU00459,"Product 459","Description for product 459",18.37
SKU00460,"Product 460","Description for product 460",73.01
SKU00461,"Product 461","Description for product 461",4.89
SKU00462,"Product 462","Description for product 462",57.68
SKU00463,"Product 463","Description for product 463",17.88
SKU00464,"Product 464","Description for product 464",53.25
SKU00465,"Product 465","Description for product 465",31.08
SKU00466,"Product 466","Description for product 466",5.71
SKU00467,"Product 467","Description for product 467",79.57
SKU00468,"Product 468","Description for product 468",16.12
SKU00469,"Product 469","Description for product 469",58.68
SKU00470,"Product 470","Description for product 470",2.71
SKU00471,"Product 471","Description for product 471",56.54
SKU00472,"Product 472","Description for product 472",27.01
SKU00473,"Product 473","Description for product 473",43.77
SKU00474,"Product 474","Description for product 474",54.71
SKU00475,"Product 475","Description for product 475",55.54
SKU00476,"Product 476","Description for product 476",70.18
SKU00477,"Product 477","Description for product 477",68.85
SKU00478,"Product 478","Description for product 478",97.07
SKU00479,"Product 479","Description for product 479",16.12
SKU00480,"Product 480","Description for product 480",28.38
SKU00481,"Product 481","Description for product 481",37.39
SKU00482,"Product 482","Description for product 482",38.23
SKU00483,"Product 483","Description for product 483",67.58
SKU00484,"Product 484","Description for product 484",89.75
SKU00485,"Product 485","Description for product 485",29.34
SKU00486,"Product 486","Description for product 486",81.62
SKU00487,"Product 487","Description for product 487",13.73
SKU00488,"Product 488","Description for product 488",3.62
SKU00489,"Product 489","Description for product 489",85.79
SKU00490,"Product 490","Description for product 490",9.15
SKU00491,"Product 491","Description for product 491",89.47
SKU00492,"Product 492","Description for product 492",14.96
SKU00493,"Product 493","Description for product 493",88.93
SKU00494,"Product 494","Description for product 494",50.33
SKU00495,"Product 495","Description for product 495",69.34
SKU00496,"Product 496","Description for product 496",11.43
SKU00497,"Product 497","Description for product 497",74.15
SKU00498,"Product 498","Description for product 498",28.34
SKU00499,"Product 499","Description for product 499",13.41
SKU00500,"Product 500","Description for product 500",80.54
SKU00501,"Product 501","Description for product 501",65.95
SKU00502,"Product 502","Description for product 502",67.36
SKU00503,"Product 503","Description for product 503",15.63
SKU00504,"Product 504","Description for product 504",80.76
SKU00505,"Product 505","Description for product 505",86.53
SKU00506,"Product 506","Description for product 506",16
SKU00507,"Product 507","Description for product 507",10.31
SKU00508,"Product 508","Description for product 508",44.81
SKU00509,"Product 509","Description for product 509",81.78
SKU00510,"Product 510","Description for product 510",30.45
SKU00511,"Product 511","Description for product 511",83.47
SKU00512,"Product 512","Description for product 512",10.39
SKU00513,"Product 513","Description for product 513",1.32
SKU00514,"Product 514","Description for product 514",56.19
SKU00515,"Product 515","Description for product 515",10.9
SKU00516,"Product 516","Description for product 516",39.98
SKU00517,"Product 517","Description for product 517",92.75
SKU00518,"Product 518","Description for product 518",25.28
SKU00519,"Product 519","Description for product 519",78.9
SKU00520,"Product 520","Description for product 520",83.8
SKU00521,"Product 521","Description for product 521",54.4
SKU00522,"Product 522","Description for product 522",91.65
SKU00523,"Product 523","Description for product 523",9
SKU00524,"Product 524","Description for product 524",43.03
SKU00525,"Product 525","Description for product 525",83.71
SKU00526,"Product 526","Description for product 526",56.22
SKU00527,"Product 527","Description for product 527",5.45
SKU00528,"Product 528","Description for product 528",54.11
SKU00529,"Product 529","Description for product 529",31.5
SKU00530,"Product 530","Description for product 530",47.04
SKU00531,"Product 531","Description for product 531",32.52
SKU00532,"Product 532","Description for product 532",11.99
SKU00533,"Product 533","Description for product 533",11
SKU00534,"Product 534","Description for product 534",31.37
SKU00535,"Product 535","Description for product 535",8.72
SKU00536,"Product 536","Description for product 536",49.34
SKU00537,"Product 537","Description for product 537",1.61
SKU00538,"Product 538","Description for product 538",99.05
SKU00539,"Product 539","Description for product 539",16.11
SKU00540,"Product 540","Description for product 540",61.66
SKU00541,"Product 541","Description for product 541",12.72
SKU00542,"Product 542","Description for product 542",35.54
SKU00543,"Product 543","Description for product 543",4.91
SKU00544,"Product 544","Description for product 544",43.2
SKU00545,"Product 545","Description for product 545",77.09
SKU00546,"Product 546","Description for product 546",3.45
SKU00547,"Product 547","Description for product 547",31.97
SKU00548,"Product 548","Description for product 548",28.3
SKU00549,"Product 549","Description for product 549",22.06
SKU00550,"Product 550","Description for product 550",32.98
SKU00551,"Product 551","Description for product 551",61.34
SKU00552,"Product 552","Description for product 552",13.38
SKU00553,"Product 553","Description for product 553",81.31
SKU00554,"Product 554","Description for product 554",17.06
SKU00555,"Product 555","Description for product 555",46.73
SKU00556,"Product 556","Description for product 556",63.12
SKU00557,"Product 557","Description for product 557",55.27
SKU00558,"Product 558","Description for product 558",99.53
SKU00559,"Product 559","Description for product 559",91.48
SKU00560,"Product 560","Description for product 560",33.75
SKU00561,"Product 561","Description for product 561",17.11
SKU00562,"Product 562","Description for product 562",57.26
SKU00563,"Product 563","Description for product 563",2.85
SKU00564,"Product 564","Description for product 564",16.75
SKU00565,"Product 565","Description for product 565",10.86
SKU00566,"Product 566","Description for product 566",10.38
SKU00567,"Product 567","Description for product 567",55.06
SKU00568,"Product 568","Description for product 568",96
SKU00569,"Product 569","Description for product 569",21.95
SKU00570,"Product 570","Description for product 570",19.92
SKU00571,"Product 571","Description for product 571",8.98
SKU00572,"Product 572","Description for product 572",73.67
SKU00573,"Product 573","Description for product 573",86.77
SKU00574,"Product 574","Description for product 574",55.07
SKU00575,"Product 575","Description for product 575",29.34
SKU00576,"Product 576","Description for product 576",3.57
SKU00577,"Product 577","Description for product 577",57.61
SKU00578,"Product 578","Description for product 578",26.52
SKU00579,"Product 579","Description for product 579",6.13
SKU00580,"Product 580","Description for product 580",61.1
SKU00581,"Product 581","Description for product 581",79.62
SKU00582,"Product 582","Description for product 582",11.35
SKU00583,"Product 583","Description for product 583",76.45
SKU00584,"Product 584","Description for product 584",29.07
SKU00585,"Product 585","Description for product 585",90.93
SKU00586,"Product 586","Description for product 586",87.8
SKU00587,"Product 587","Description for product 587",95.83
SKU00588,"Product 588","Description for product 588",58.13
SKU00589,"Product 589","Description for product 589",94.46
SKU00590,"Product 590","Description for product 590",19.31
SKU00591,"Product 591","Description for product 591",73.51
SKU00592,"Product 592","Description for product 592",91.23
SKU00593,"Product 593","Description for product 593",4.21
SKU00594,"Product 594","Description for product 594",76.54
SKU00595,"Product 595","Description for product 595",99.45
SKU00596,"Product 596","Description for product 596",38.43
SKU00597,"Product 597","Description for product 597",38.19
SKU00598,"Product 598","Description for product 598",57.54
SKU00599,"Product 599","Description for product 599",55.83
SKU00600,"Product 600","Description for product 600",19.36
SKU00601,"Product 601","Description for product 601",99.77
SKU00602,"Product 602","Description for product 602",45.62
SKU00603,"Product 603","Description for product 603",79.99
SKU00604,"Product 604","Description for product 604",4.59
SKU00605,"Product 605","Description for product 605",55.96
SKU00606,"Product 606","Description for product 606",16.52
SKU00607,"Product 607","Description for product 607",79.52
SKU00608,"Product 608","Description for product 608",41.35
